ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.0246876359928214, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
23,Merge k Sorted Lists,40.2%,Hard,0.0239819646864854, https://leetcode.com/problems/merge-k-sorted-lists
285,Inorder Successor in BST,40.4%,Medium,0.0212660858461784, https://leetcode.com/problems/inorder-successor-in-bst
212,Word Search II,34.9%,Hard,0.021038644146708, https://leetcode.com/problems/word-search-ii
33,Search in Rotated Sorted Array,34.5%,Medium,0.0192195337936351, https://leetcode.com/problems/search-in-rotated-sorted-array
268,Missing Number,51.7%,Easy,0.0185448059153998, https://leetcode.com/problems/missing-number
151,Reverse Words in a String,21.9%,Medium,0.0185358613012921, https://leetcode.com/problems/reverse-words-in-a-string
289,Game of Life,54.5%,Medium,0.016625486846134, https://leetcode.com/problems/game-of-life
299,Bulls and Cows,42.4%,Easy,0.0155041865359652, https://leetcode.com/problems/bulls-and-cows
79,Word Search,35.6%,Medium,0.0146731795004166, https://leetcode.com/problems/word-search
150,Evaluate Reverse Polish Notation,36.3%,Medium,0.0135549347517152, https://leetcode.com/problems/evaluate-reverse-polish-notation
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0132882510450644, https://leetcode.com/problems/longest-substring-without-repeating-characters
13,Roman to Integer,55.7%,Easy,0.013035869788083, https://leetcode.com/problems/roman-to-integer
695,Max Area of Island,62.7%,Medium,0.0121323902482378, https://leetcode.com/problems/max-area-of-island
140,Word Break II,32.6%,Hard,0.0106610817861136, https://leetcode.com/problems/word-break-ii
8,String to Integer (atoi),15.4%,Medium,0.0081337999267701, https://leetcode.com/problems/string-to-integer-atoi
283,Move Zeroes,57.8%,Easy,0.0027586224390797, https://leetcode.com/problems/move-zeroes
15,3Sum,26.8%,Medium,0.0011537699007881, https://leetcode.com/problems/3sum
2,Add Two Numbers,33.9%,Medium,0.0006433776804954, https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0005103922202926, https://leetcode.com/problems/longest-substring-without-repeating-characters
2,Add Two Numbers,33.9%,Medium,0.0045738142876431, https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.004044446455024, https://leetcode.com/problems/longest-substring-without-repeating-characters
15,3Sum,26.8%,Medium,0.0021990113314367, https://leetcode.com/problems/3sum
1,Two Sum,45.6%,Easy,0.0018454351235873, https://leetcode.com/problems/two-sum
1,Two Sum,45.6%,Easy,0.0149835414294644, https://leetcode.com/problems/two-sum
2,Add Two Numbers,33.9%,Medium,0.0090033495241648, https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0081792032367363, https://leetcode.com/problems/longest-substring-without-repeating-characters
15,3Sum,26.8%,Medium,0.0021990113314367, https://leetcode.com/problems/3sum
1275,Find Winner on a Tic Tac Toe Game,52.8%,Easy,0.0, https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game
1154,Day of the Year,49.3%,Easy,0.0, https://leetcode.com/problems/day-of-the-year
1138,Alphabet Board Path,48.4%,Medium,0.033697184154274, https://leetcode.com/problems/alphabet-board-path
56,Merge Intervals,39.3%,Medium,0.0215099061352744, https://leetcode.com/problems/merge-intervals
242,Valid Anagram,56.9%,Easy,0.0093226281162749, https://leetcode.com/problems/valid-anagram
4,Median of Two Sorted Arrays,29.6%,Hard,0.0039001609500947, https://leetcode.com/problems/median-of-two-sorted-arrays
1138,Alphabet Board Path,48.4%,Medium,0.0732817792334067, https://leetcode.com/problems/alphabet-board-path
56,Merge Intervals,39.3%,Medium,0.0448978633045407, https://leetcode.com/problems/merge-intervals
242,Valid Anagram,56.9%,Easy,0.0165139473756747, https://leetcode.com/problems/valid-anagram
200,Number of Islands,46.8%,Medium,0.0115092624205908, https://leetcode.com/problems/number-of-islands
4,Median of Two Sorted Arrays,29.6%,Hard,0.0087540681599149, https://leetcode.com/problems/median-of-two-sorted-arrays
10,Regular Expression Matching,26.8%,Hard,0.0071865203293987, https://leetcode.com/problems/regular-expression-matching
387,First Unique Character in a String,53.4%,Easy,0.0041854199427069, https://leetcode.com/problems/first-unique-character-in-a-string
49,Group Anagrams,56.9%,Medium,0.003804093983556, https://leetcode.com/problems/group-anagrams
33,Search in Rotated Sorted Array,34.5%,Medium,0.0032299769683326, https://leetcode.com/problems/search-in-rotated-sorted-array
70,Climbing Stairs,47.8%,Easy,0.0015084665529624, https://leetcode.com/problems/climbing-stairs
56,Merge Intervals,39.3%,Medium,0.1070324879394199, https://leetcode.com/problems/merge-intervals
1138,Alphabet Board Path,48.4%,Medium,0.0663585361185967, https://leetcode.com/problems/alphabet-board-path
242,Valid Anagram,56.9%,Easy,0.0256845842977735, https://leetcode.com/problems/valid-anagram
10,Regular Expression Matching,26.8%,Hard,0.0160976468428474, https://leetcode.com/problems/regular-expression-matching
200,Number of Islands,46.8%,Medium,0.0115092624205908, https://leetcode.com/problems/number-of-islands
387,First Unique Character in a String,53.4%,Easy,0.0093926801990541, https://leetcode.com/problems/first-unique-character-in-a-string
4,Median of Two Sorted Arrays,29.6%,Hard,0.0087540681599149, https://leetcode.com/problems/median-of-two-sorted-arrays
49,Group Anagrams,56.9%,Medium,0.0085389513142321, https://leetcode.com/problems/group-anagrams
33,Search in Rotated Sorted Array,34.5%,Medium,0.0072528321803903, https://leetcode.com/problems/search-in-rotated-sorted-array
70,Climbing Stairs,47.8%,Easy,0.0060202612502156, https://leetcode.com/problems/climbing-stairs
1271,Hexspeak,54.2%,Easy,0.7407752295491999, https://leetcode.com/problems/hexspeak
1243,Array Transformation,51.1%,Easy,0.4802251833172736, https://leetcode.com/problems/array-transformation
1180,Count Substrings with Only One Distinct Letter,77.0%,Easy,0.3161972427598021, https://leetcode.com/problems/count-substrings-with-only-one-distinct-letter
1196,How Many Apples Can You Put into the Basket,67.9%,Easy,0.2943140247555322, https://leetcode.com/problems/how-many-apples-can-you-put-into-the-basket
1271,Hexspeak,54.2%,Easy,0.3837188253364694, https://leetcode.com/problems/hexspeak
1243,Array Transformation,51.1%,Easy,0.2421400520048648, https://leetcode.com/problems/array-transformation
1180,Count Substrings with Only One Distinct Letter,77.0%,Easy,0.1529693447814272, https://leetcode.com/problems/count-substrings-with-only-one-distinct-letter
1196,How Many Apples Can You Put into the Basket,67.9%,Easy,0.1415787733316046, https://leetcode.com/problems/how-many-apples-can-you-put-into-the-basket
1243,Array Transformation,51.1%,Easy,0.997807589546144, https://leetcode.com/problems/array-transformation
1271,Hexspeak,54.2%,Easy,0.7407752295491999, https://leetcode.com/problems/hexspeak
1180,Count Substrings with Only One Distinct Letter,77.0%,Easy,0.7095409903356217, https://leetcode.com/problems/count-substrings-with-only-one-distinct-letter
1196,How Many Apples Can You Put into the Basket,67.9%,Easy,0.668121812993005, https://leetcode.com/problems/how-many-apples-can-you-put-into-the-basket
761,Special Binary String,54.7%,Hard,0.0934877538084683, https://leetcode.com/problems/special-binary-string
362,Design Hit Counter,63.7%,Medium,0.0562296764986782, https://leetcode.com/problems/design-hit-counter
1353,Maximum Number of Events That Can Be Attended,30.5%,Medium,0.0542874128378284, https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended
42,Trapping Rain Water,48.9%,Hard,0.0520342450174788, https://leetcode.com/problems/trapping-rain-water
54,Spiral Matrix,34.1%,Medium,0.0147761677076887, https://leetcode.com/problems/spiral-matrix
76,Minimum Window Substring,34.6%,Hard,0.0139667074817081, https://leetcode.com/problems/minimum-window-substring
380,Insert Delete GetRandom O(1),47.5%,Medium,0.0098208498640944, https://leetcode.com/problems/insert-delete-getrandom-o1
253,Meeting Rooms II,45.7%,Medium,0.0080792198705464, https://leetcode.com/problems/meeting-rooms-ii
98,Validate Binary Search Tree,27.8%,Medium,0.0066113514893502, https://leetcode.com/problems/validate-binary-search-tree
15,3Sum,26.8%,Medium,0.0049409927587425, https://leetcode.com/problems/3sum
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.0047725193990346, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
1,Two Sum,45.6%,Easy,0.0032784227380416, https://leetcode.com/problems/two-sum
206,Reverse Linked List,62.5%,Easy,0.0023398665252948, https://leetcode.com/problems/reverse-linked-list
20,Valid Parentheses,39.0%,Easy,0.0023005704055949, https://leetcode.com/problems/valid-parentheses
829,Consecutive Numbers Sum,37.5%,Hard,0.534071766545536, https://leetcode.com/problems/consecutive-numbers-sum
761,Special Binary String,54.7%,Hard,0.3007541540191337, https://leetcode.com/problems/special-binary-string
42,Trapping Rain Water,48.9%,Hard,0.0674365414927314, https://leetcode.com/problems/trapping-rain-water
362,Design Hit Counter,63.7%,Medium,0.0562296764986782, https://leetcode.com/problems/design-hit-counter
735,Asteroid Collision,41.0%,Medium,0.0547915488296824, https://leetcode.com/problems/asteroid-collision
1353,Maximum Number of Events That Can Be Attended,30.5%,Medium,0.0542874128378284, https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended
1010,Pairs of Songs With Total Durations Divisible by 60,47.4%,Easy,0.0418033698043605, https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
697,Degree of an Array,53.8%,Easy,0.0322608622182214, https://leetcode.com/problems/degree-of-an-array
1,Two Sum,45.6%,Easy,0.0291259161240908, https://leetcode.com/problems/two-sum
15,3Sum,26.8%,Medium,0.0266103130111179, https://leetcode.com/problems/3sum
98,Validate Binary Search Tree,27.8%,Medium,0.0261871234163406, https://leetcode.com/problems/validate-binary-search-tree
377,Combination Sum IV,45.3%,Medium,0.0208775850215552, https://leetcode.com/problems/combination-sum-iv
253,Meeting Rooms II,45.7%,Medium,0.0180873098105793, https://leetcode.com/problems/meeting-rooms-ii
54,Spiral Matrix,34.1%,Medium,0.0147761677076887, https://leetcode.com/problems/spiral-matrix
76,Minimum Window Substring,34.6%,Hard,0.0139667074817081, https://leetcode.com/problems/minimum-window-substring
273,Integer to English Words,27.1%,Hard,0.0120810892503397, https://leetcode.com/problems/integer-to-english-words
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.0105758917590581, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
380,Insert Delete GetRandom O(1),47.5%,Medium,0.0098208498640944, https://leetcode.com/problems/insert-delete-getrandom-o1
322,Coin Change,35.5%,Medium,0.0090443788066599, https://leetcode.com/problems/coin-change
238,Product of Array Except Self,60.1%,Medium,0.0088218568602167, https://leetcode.com/problems/product-of-array-except-self
4,Median of Two Sorted Arrays,29.6%,Hard,0.0087540681599149, https://leetcode.com/problems/median-of-two-sorted-arrays
49,Group Anagrams,56.9%,Medium,0.0085389513142321, https://leetcode.com/problems/group-anagrams
33,Search in Rotated Sorted Array,34.5%,Medium,0.0072528321803903, https://leetcode.com/problems/search-in-rotated-sorted-array
200,Number of Islands,46.8%,Medium,0.0064902513827793, https://leetcode.com/problems/number-of-islands
138,Copy List with Random Pointer,36.4%,Medium,0.0061910118808252, https://leetcode.com/problems/copy-list-with-random-pointer
973,K Closest Points to Origin,63.8%,Medium,0.0057736880944263, https://leetcode.com/problems/k-closest-points-to-origin
206,Reverse Linked List,62.5%,Easy,0.0052570214528016, https://leetcode.com/problems/reverse-linked-list
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.0047725193990346, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
155,Min Stack,44.5%,Easy,0.0047489107412817, https://leetcode.com/problems/min-stack
146,LRU Cache,33.2%,Medium,0.0046003531390613, https://leetcode.com/problems/lru-cache
34,Find First and Last Position of Element in Sorted Array,36.2%,Medium,0.004247643638268, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
56,Merge Intervals,39.3%,Medium,0.0034728286335985, https://leetcode.com/problems/merge-intervals
101,Symmetric Tree,46.8%,Easy,0.0034057078469827, https://leetcode.com/problems/symmetric-tree
14,Longest Common Prefix,35.4%,Easy,0.0033203317629841, https://leetcode.com/problems/longest-common-prefix
20,Valid Parentheses,39.0%,Easy,0.0023005704055949, https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,53.5%,Easy,0.0022551737583973, https://leetcode.com/problems/merge-two-sorted-lists
53,Maximum Subarray,46.5%,Easy,0.0021670828721507, https://leetcode.com/problems/maximum-subarray
1353,Maximum Number of Events That Can Be Attended,30.5%,Medium,0.006473832517571, https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended
42,Trapping Rain Water,48.9%,Hard,0.0043506703387449, https://leetcode.com/problems/trapping-rain-water
98,Validate Binary Search Tree,27.8%,Medium,0.0029437760440133, https://leetcode.com/problems/validate-binary-search-tree
1,Two Sum,45.6%,Easy,0.0008206138651873, https://leetcode.com/problems/two-sum
829,Consecutive Numbers Sum,37.5%,Hard,0.4198634169489928, https://leetcode.com/problems/consecutive-numbers-sum
761,Special Binary String,54.7%,Hard,0.3007541540191337, https://leetcode.com/problems/special-binary-string
1353,Maximum Number of Events That Can Be Attended,30.5%,Medium,0.2991226548536739, https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended
1,Two Sum,45.6%,Easy,0.1800133919238148, https://leetcode.com/problems/two-sum
42,Trapping Rain Water,48.9%,Hard,0.16908117464136, https://leetcode.com/problems/trapping-rain-water
54,Spiral Matrix,34.1%,Medium,0.1257272849382123, https://leetcode.com/problems/spiral-matrix
20,Valid Parentheses,39.0%,Easy,0.1069312282383534, https://leetcode.com/problems/valid-parentheses
735,Asteroid Collision,41.0%,Medium,0.0954239519189023, https://leetcode.com/problems/asteroid-collision
377,Combination Sum IV,45.3%,Medium,0.0810159437600886, https://leetcode.com/problems/combination-sum-iv
697,Degree of an Array,53.8%,Easy,0.0711762784678949, https://leetcode.com/problems/degree-of-an-array
98,Validate Binary Search Tree,27.8%,Medium,0.0579851815121325, https://leetcode.com/problems/validate-binary-search-tree
200,Number of Islands,46.8%,Medium,0.0569493854193619, https://leetcode.com/problems/number-of-islands
362,Design Hit Counter,63.7%,Medium,0.0562296764986782, https://leetcode.com/problems/design-hit-counter
253,Meeting Rooms II,45.7%,Medium,0.0494562805906621, https://leetcode.com/problems/meeting-rooms-ii
1010,Pairs of Songs With Total Durations Divisible by 60,47.4%,Easy,0.0418033698043605, https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
76,Minimum Window Substring,34.6%,Hard,0.0383247392629946, https://leetcode.com/problems/minimum-window-substring
238,Product of Array Except Self,60.1%,Medium,0.0348298725805272, https://leetcode.com/problems/product-of-array-except-self
15,3Sum,26.8%,Medium,0.0346167609048592, https://leetcode.com/problems/3sum
4,Median of Two Sorted Arrays,29.6%,Hard,0.0345656531122808, https://leetcode.com/problems/median-of-two-sorted-arrays
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.0291056633868856, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
146,LRU Cache,33.2%,Medium,0.0284110018327798, https://leetcode.com/problems/lru-cache
273,Integer to English Words,27.1%,Hard,0.026980053764546, https://leetcode.com/problems/integer-to-english-words
322,Coin Change,35.5%,Medium,0.024924029676386, https://leetcode.com/problems/coin-change
138,Copy List with Random Pointer,36.4%,Medium,0.02453734514188, https://leetcode.com/problems/copy-list-with-random-pointer
49,Group Anagrams,56.9%,Medium,0.0235415768218774, https://leetcode.com/problems/group-anagrams
14,Longest Common Prefix,35.4%,Easy,0.0205734708702232, https://leetcode.com/problems/longest-common-prefix
53,Maximum Subarray,46.5%,Easy,0.019336728821707, https://leetcode.com/problems/maximum-subarray
206,Reverse Linked List,62.5%,Easy,0.0145351396191131, https://leetcode.com/problems/reverse-linked-list
33,Search in Rotated Sorted Array,34.5%,Medium,0.0128577791942893, https://leetcode.com/problems/search-in-rotated-sorted-array
155,Min Stack,44.5%,Easy,0.010653509851791, https://leetcode.com/problems/min-stack
380,Insert Delete GetRandom O(1),47.5%,Medium,0.0098208498640944, https://leetcode.com/problems/insert-delete-getrandom-o1
34,Find First and Last Position of Element in Sorted Array,36.2%,Medium,0.0095319510098118, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.0084687956530031, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
56,Merge Intervals,39.3%,Medium,0.0077969727060047, https://leetcode.com/problems/merge-intervals
973,K Closest Points to Origin,63.8%,Medium,0.0057736880944263, https://leetcode.com/problems/k-closest-points-to-origin
21,Merge Two Sorted Lists,53.5%,Easy,0.005067007800877, https://leetcode.com/problems/merge-two-sorted-lists
101,Symmetric Tree,46.8%,Easy,0.0034057078469827, https://leetcode.com/problems/symmetric-tree
1025,Divisor Game,66.3%,Easy,0.0, https://leetcode.com/problems/divisor-game
1389,Create Target Array in the Given Order,84.2%,Easy,0.0, https://leetcode.com/problems/create-target-array-in-the-given-order
146,LRU Cache,33.2%,Medium,0.0873691394938576, https://leetcode.com/problems/lru-cache
1048,Longest String Chain,54.7%,Medium,0.0752942533018759, https://leetcode.com/problems/longest-string-chain
697,Degree of an Array,53.8%,Easy,0.0711762784678949, https://leetcode.com/problems/degree-of-an-array
1328,Break a Palindrome,43.3%,Medium,0.0591013922759133, https://leetcode.com/problems/break-a-palindrome
981,Time Based Key-Value Store,53.1%,Medium,0.0494063153870712, https://leetcode.com/problems/time-based-key-value-store
49,Group Anagrams,56.9%,Medium,0.0456317525639772, https://leetcode.com/problems/group-anagrams
97,Interleaving String,31.5%,Hard,0.0454853543941165, https://leetcode.com/problems/interleaving-string
609,Find Duplicate File in System,59.5%,Medium,0.0452054367680467, https://leetcode.com/problems/find-duplicate-file-in-system
706,Design HashMap,61.3%,Easy,0.0390166523424517, https://leetcode.com/problems/design-hashmap
221,Maximal Square,37.7%,Medium,0.0389722968062082, https://leetcode.com/problems/maximal-square
460,LFU Cache,34.2%,Hard,0.0309622256039668, https://leetcode.com/problems/lfu-cache
56,Merge Intervals,39.3%,Medium,0.0308296380840767, https://leetcode.com/problems/merge-intervals
269,Alien Dictionary,33.3%,Hard,0.0284199739912749, https://leetcode.com/problems/alien-dictionary
20,Valid Parentheses,39.0%,Easy,0.0278237344500103, https://leetcode.com/problems/valid-parentheses
1209,Remove All Adjacent Duplicates in String II,56.9%,Medium,0.0232433473723272, https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii
905,Sort Array By Parity,74.1%,Easy,0.0214805395167594, https://leetcode.com/problems/sort-array-by-parity
93,Restore IP Addresses,35.6%,Medium,0.0197634891188396, https://leetcode.com/problems/restore-ip-addresses
322,Coin Change,35.5%,Medium,0.0160227741881222, https://leetcode.com/problems/coin-change
80,Remove Duplicates from Sorted Array II,44.0%,Medium,0.0148150857851406, https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii
150,Evaluate Reverse Polish Notation,36.3%,Medium,0.0141345109349047, https://leetcode.com/problems/evaluate-reverse-polish-notation
1,Two Sum,45.6%,Easy,0.0130496917532246, https://leetcode.com/problems/two-sum
226,Invert Binary Tree,65.0%,Easy,0.0123509186340091, https://leetcode.com/problems/invert-binary-tree
733,Flood Fill,55.3%,Easy,0.0112171675309249, https://leetcode.com/problems/flood-fill
380,Insert Delete GetRandom O(1),47.5%,Medium,0.0098208498640944, https://leetcode.com/problems/insert-delete-getrandom-o1
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0096832424447395, https://leetcode.com/problems/longest-substring-without-repeating-characters
63,Unique Paths II,34.6%,Medium,0.0087127538749611, https://leetcode.com/problems/unique-paths-ii
416,Partition Equal Subset Sum,43.7%,Medium,0.0086862652559603, https://leetcode.com/problems/partition-equal-subset-sum
8,String to Integer (atoi),15.4%,Medium,0.0085131047622482, https://leetcode.com/problems/string-to-integer-atoi
133,Clone Graph,34.8%,Medium,0.0081367413930617, https://leetcode.com/problems/clone-graph
36,Valid Sudoku,48.7%,Medium,0.0072582427158053, https://leetcode.com/problems/valid-sudoku
33,Search in Rotated Sorted Array,34.5%,Medium,0.0072528321803903, https://leetcode.com/problems/search-in-rotated-sorted-array
297,Serialize and Deserialize Binary Tree,47.5%,Hard,0.007077170374085, https://leetcode.com/problems/serialize-and-deserialize-binary-tree
230,Kth Smallest Element in a BST,60.2%,Medium,0.0063361529894967, https://leetcode.com/problems/kth-smallest-element-in-a-bst
39,Combination Sum,56.1%,Medium,0.0057159343964409, https://leetcode.com/problems/combination-sum
15,3Sum,26.8%,Medium,0.0049409927587425, https://leetcode.com/problems/3sum
23,Merge k Sorted Lists,40.2%,Hard,0.004051459000748, https://leetcode.com/problems/merge-k-sorted-lists
28,Implement strStr(),34.5%,Easy,0.00394322277504, https://leetcode.com/problems/implement-strstr
977,Squares of a Sorted Array,72.1%,Easy,0.0038910554929666, https://leetcode.com/problems/squares-of-a-sorted-array
102,Binary Tree Level Order Traversal,54.6%,Medium,0.003639014205004, https://leetcode.com/problems/binary-tree-level-order-traversal
88,Merge Sorted Array,39.4%,Easy,0.0030102370714243, https://leetcode.com/problems/merge-sorted-array
98,Validate Binary Search Tree,27.8%,Medium,0.0029437760440133, https://leetcode.com/problems/validate-binary-search-tree
206,Reverse Linked List,62.5%,Easy,0.0023398665252948, https://leetcode.com/problems/reverse-linked-list
21,Merge Two Sorted Lists,53.5%,Easy,0.0022551737583973, https://leetcode.com/problems/merge-two-sorted-lists
2,Add Two Numbers,33.9%,Medium,0.001688619111144, https://leetcode.com/problems/add-two-numbers
151,Reverse Words in a String,21.9%,Medium,0.0015375156780384, https://leetcode.com/problems/reverse-words-in-a-string
347,Top K Frequent Elements,61.2%,Medium,0.0014856636219477, https://leetcode.com/problems/top-k-frequent-elements
50,Pow(x;n),30.3%,Medium,0.0014016892647828, https://leetcode.com/problems/powx-n
146,LRU Cache,33.2%,Medium,0.1499900812285872, https://leetcode.com/problems/lru-cache
37,Sudoku Solver,43.6%,Hard,0.1324217001492015, https://leetcode.com/problems/sudoku-solver
221,Maximal Square,37.7%,Medium,0.1148533190698158, https://leetcode.com/problems/maximal-square
609,Find Duplicate File in System,59.5%,Medium,0.0989818335488509, https://leetcode.com/problems/find-duplicate-file-in-system
20,Valid Parentheses,39.0%,Easy,0.0928626343812616, https://leetcode.com/problems/valid-parentheses
1048,Longest String Chain,54.7%,Medium,0.0752942533018759, https://leetcode.com/problems/longest-string-chain
49,Group Anagrams,56.9%,Medium,0.0743461524573368, https://leetcode.com/problems/group-anagrams
697,Degree of an Array,53.8%,Easy,0.0711762784678949, https://leetcode.com/problems/degree-of-an-array
460,LFU Cache,34.2%,Hard,0.0683637428093902, https://leetcode.com/problems/lfu-cache
706,Design HashMap,61.3%,Easy,0.0683442674369718, https://leetcode.com/problems/design-hashmap
1328,Break a Palindrome,43.3%,Medium,0.0591013922759133, https://leetcode.com/problems/break-a-palindrome
829,Consecutive Numbers Sum,37.5%,Hard,0.0534172374969858, https://leetcode.com/problems/consecutive-numbers-sum
85,Maximal Rectangle,37.7%,Hard,0.0522994994028489, https://leetcode.com/problems/maximal-rectangle
186,Reverse Words in a String II,43.3%,Medium,0.0506437328187549, https://leetcode.com/problems/reverse-words-in-a-string-ii
269,Alien Dictionary,33.3%,Hard,0.0499791705746588, https://leetcode.com/problems/alien-dictionary
981,Time Based Key-Value Store,53.1%,Medium,0.0494063153870712, https://leetcode.com/problems/time-based-key-value-store
322,Coin Change,35.5%,Medium,0.0482804826131978, https://leetcode.com/problems/coin-change
698,Partition to K Equal Sum Subsets,45.0%,Medium,0.0468591711409418, https://leetcode.com/problems/partition-to-k-equal-sum-subsets
556,Next Greater Element III,31.7%,Medium,0.0467921615067589, https://leetcode.com/problems/next-greater-element-iii
97,Interleaving String,31.5%,Hard,0.0454853543941165, https://leetcode.com/problems/interleaving-string
93,Restore IP Addresses,35.6%,Medium,0.0439309292257267, https://leetcode.com/problems/restore-ip-addresses
56,Merge Intervals,39.3%,Medium,0.0417330422533176, https://leetcode.com/problems/merge-intervals
243,Shortest Word Distance,61.0%,Easy,0.040780370344928, https://leetcode.com/problems/shortest-word-distance
380,Insert Delete GetRandom O(1),47.5%,Medium,0.0387176353507079, https://leetcode.com/problems/insert-delete-getrandom-o1
47,Permutations II,46.4%,Medium,0.0381452682596904, https://leetcode.com/problems/permutations-ii
905,Sort Array By Parity,74.1%,Easy,0.0378743492924358, https://leetcode.com/problems/sort-array-by-parity
295,Find Median from Data Stream,44.3%,Hard,0.0355198272485353, https://leetcode.com/problems/find-median-from-data-stream
277,Find the Celebrity,41.8%,Medium,0.029697802391742, https://leetcode.com/problems/find-the-celebrity
33,Search in Rotated Sorted Array,34.5%,Medium,0.0287009496170278, https://leetcode.com/problems/search-in-rotated-sorted-array
733,Flood Fill,55.3%,Easy,0.0250639686632162, https://leetcode.com/problems/flood-fill
23,Merge k Sorted Lists,40.2%,Hard,0.0250564321052577, https://leetcode.com/problems/merge-k-sorted-lists
1,Two Sum,45.6%,Easy,0.0245304116230177, https://leetcode.com/problems/two-sum
426,Convert Binary Search Tree to Sorted Doubly Linked List,59.1%,Medium,0.0242142581205946, https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
1209,Remove All Adjacent Duplicates in String II,56.9%,Medium,0.0232433473723272, https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii
206,Reverse Linked List,62.5%,Easy,0.0208642746707607, https://leetcode.com/problems/reverse-linked-list
341,Flatten Nested List Iterator,52.9%,Medium,0.0199806846904834, https://leetcode.com/problems/flatten-nested-list-iterator
525,Contiguous Array,42.8%,Medium,0.0197537287362325, https://leetcode.com/problems/contiguous-array
402,Remove K Digits,28.4%,Medium,0.0168638060520048, https://leetcode.com/problems/remove-k-digits
116,Populating Next Right Pointers in Each Node,45.2%,Medium,0.0164327232515676, https://leetcode.com/problems/populating-next-right-pointers-in-each-node
